"id","reconcile","code","name","internal_type","user_type_id/id"
"__export__.account_account_1",,1,"ACTIVO",,
"__export__.account_account_101",,101,"ACTIVO CORRIENTE",,
"__export__.account_account_10101",,10101,"EFECTIVO Y EQUIVALENTES AL EFECTIVO",,
"__export__.account_account_10102",,10102,"ACTIVOS FINANCIEROS",,
"__export__.account_account_1010201",,1010201,"ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS",,
"__export__.account_account_1010202",,1010202,"ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA",,
"__export__.account_account_1010203",,1010203,"ACTIVOS FINANCIEROS MANTENIDOS HASTA EL VENCIMIENTO",,
"__export__.account_account_1010204",,1010204,"(-) PROVISION POR DETERIORO",,
"__export__.account_account_1010205",,1010205,"DOCUMENTOS Y CUENTAS POR COBRAR CLIENTES NO RELACIONADOS",,
"__export__.account_account_101020501",,101020501,"DE ACTIVIDADES ORDINARIAS QUE GENEREN INTERESES",,
"__export__.account_account_101020502",,101020502,"DE ACTIVIDADES ORDINARIAS QUE NO GENEREN INTERESES",,
"__export__.account_account_1010206",,1010206,"DOCUMENTOS Y CUENTAS POR COBRAR CLIENTES RELACIONADOS",,
"__export__.account_account_1010207",,1010207,"OTRAS CUENTAS POR COBRAR RELACIONADAS",,
"__export__.account_account_1010208",,1010208,"OTRAS CUENTAS POR COBRAR",,
"__export__.account_account_1010209",,1010209,"(-) PROVISIÓN CUENTAS INCOBRABLES Y DETERIORO",,
"__export__.account_account_10103",,10103,"INVENTARIOS",,
"__export__.account_account_1010301",,1010301,"INVENTARIOS DE MATERIA PRIMA",,
"__export__.account_account_1010302",,1010302,"INVENTARIOS DE PRODUCTOS EN PROCESO",,
"__export__.account_account_1010303",,1010303,"INVENTARIOS DE SUMINISTROS O MATERIALES A SER CONSUMIDOS EN EL PROCESO DE PRODUCCIÓN",,
"__export__.account_account_1010304",,1010304,"INVENTARIOS DE SUMINISTROS O MATERIALES A SER CONSUMIDOS EN LA PRESTACIÓN DE SERVICIO",,
"__export__.account_account_1010305",,1010305,"INVENTARIOS DE PRODUCTOS TERMINADOS Y MERCADERIA EN ALMACÉN - PRODUCIDO POR LA COMPAÑÍA",,
"__export__.account_account_1010306",,1010306,"INVENTARIOS DE PRODUCTOS TERMINADOS Y MERCADERIA EN ALMACÉN - COMPRADO DE TERCEROS",,
"__export__.account_account_1010307",,1010307,"MERCADERÍAS EN TRÁNSITO",,
"__export__.account_account_1010308",,1010308,"OBRAS EN CONSTRUCCION",,
"__export__.account_account_1010309",,1010309,"OBRAS TERMINADAS",,
"__export__.account_account_1010310",,1010310,"MATERIALES O BIENES PARA LA CONSTRUCCIÓN",,
"__export__.account_account_1010311",,1010311,"INVENTARIOS REPUESTOS, HERRAMIENTAS Y ACCESORIOS",,
"__export__.account_account_1010312",,1010312,"OTROS INVENTARIOS",,
"__export__.account_account_1010313",,1010313,"(-) PROVISIÓN POR VALOR NETO DE REALIZACIÓN Y OTRAS PÉRDIDAS EN EL INVENTARIO",,
"__export__.account_account_10104",,10104,"SERVICIOS Y OTROS PAGOS ANTICIPADOS",,
"__export__.account_account_1010401",,1010401,"SEGUROS PAGADOS POR ANTICIPADO",,
"__export__.account_account_1010402",,1010402,"ARRIENDOS PAGADOS POR ANTICIPADO",,
"__export__.account_account_1010403",,1010403,"ANTICIPOS A PROVEEDORES",,
"__export__.account_account_1010404",,1010404,"OTROS ANTICIPOS ENTREGADOS",,
"__export__.account_account_10105",,10105,"ACTIVOS POR IMPUESTOS CORRIENTES",,
"__export__.account_account_1010501",,1010501,"CRÉDITO TRIBUTARIO A FAVOR DE LA EMPRESA (IVA)",,
"__export__.account_account_1010502",,1010502,"CRÉDITO TRIBUTARIO A FAVOR DE LA EMPRESA ( I. R.)",,
"__export__.account_account_1010503",,1010503,"ANTICIPO DE IMPUESTO A LA RENTA",,
"__export__.account_account_10106",,10106,"ACTIVOS NO CORRIENTES MANTENIDOS PARA LA VENTA Y OPERACIONES DISCONTINUADAS",,
"__export__.account_account_10107",,10107,"CONSTRUCCIONES EN PROCESO (NIC 11 Y SECC.23 PYMES)",,
"__export__.account_account_10108",,10108,"OTROS ACTIVOS CORRIENTES",,
"__export__.account_account_102",,102,"ACTIVO NO CORRIENTE",,
"__export__.account_account_10201",,10201,"PROPIEDADES, PLANTA Y EQUIPO",,
"__export__.account_account_1020101",,1020101,"TERRENOS",,
"__export__.account_account_1020102",,1020102,"EDIFICIOS",,
"__export__.account_account_1020103",,1020103,"CONTRUCCIONES EN CURSO",,
"__export__.account_account_1020104",,1020104,"INSTALACIONES",,
"__export__.account_account_1020105",,1020105,"MUEBLES Y ENSERES",,
"__export__.account_account_1020106",,1020106,"MAQUINARIA Y EQUIPO",,
"__export__.account_account_1020107",,1020107,"NAVES, AERONAVES, BARCAZAS Y SIMILARES",,
"__export__.account_account_1020108",,1020108,"EQUIPO DE COMPUTACIÓN",,
"__export__.account_account_1020109",,1020109,"VEHÍCULOS, EQUIPOS DE TRANSPORTE Y EQUIPO CAMINERO MÓVIL",,
"__export__.account_account_1020110",,1020110,"OTROS PROPIEDADES, PLANTA Y EQUIPO",,
"__export__.account_account_1020111",,1020111,"REPUESTOS Y HERRAMIENTAS",,
"__export__.account_account_1020112",,1020112,"(-) DEPRECIACIÓN ACUMULADA PROPIEDADES, PLANTA Y EQUIPO",,
"__export__.account_account_1020113",,1020113,"(-) DETERIORO ACUMULADO DE PROPIEDADES, PLANTA Y EQUIPO",,
"__export__.account_account_1020114",,1020114,"ACTIVOS DE EXPLORACIÓN Y EXPLOTACIÓN",,
"__export__.account_account_102011401",,102011401,"ACTIVOS DE EXPLORACIÓN Y EXPLOTACIÓN",,
"__export__.account_account_102011402",,102011402,"(-) AMORTIZACIÓN ACUMULADA DE ACTIVOS DE EXLORACIÓN Y EXPLOTACIÓN",,
"__export__.account_account_102011403",,102011403,"(-) DETERIORO ACUMULADO DE ACTIVOS DE EXPLORACIÓN Y EXPLOTACIÓN",,
"__export__.account_account_10202",,10202,"PROPIEDADES DE INVERSIÓN",,
"__export__.account_account_1020201",,1020201,"TERRENOS",,
"__export__.account_account_1020202",,1020202,"EDIFICIOS",,
"__export__.account_account_1020203",,1020203,"(-) DEPRECIACION ACUMULADA DE PROPIEDADES DE INVERSIÓN",,
"__export__.account_account_1020204",,1020204,"(-) DETERIORO ACUMULADO DE PROPIEDADES DE INVERSIÓN",,
"__export__.account_account_10203",,10203,"ACTIVOS BIOLOGICOS",,
"__export__.account_account_1020301",,1020301,"ANIMALES VIVOS EN CRECIMIENTO",,
"__export__.account_account_1020302",,1020302,"ANIMALES VIVOS EN PRODUCCIÓN",,
"__export__.account_account_1020303",,1020303,"PLANTAS EN CRECIMIENTO",,
"__export__.account_account_1020304",,1020304,"PLANTAS EN PRODUCCIÓN",,
"__export__.account_account_1020305",,1020305,"(-) DEPRECIACIÓN ACUMULADA DE ACTIVOS BIOLÓGICOS",,
"__export__.account_account_1020306",,1020306,"(-) DETERIORO ACUMULADO DE ACTIVOS BIOLÓGICOS",,
"__export__.account_account_10204",,10204,"ACTIVO INTANGIBLE",,
