"id","name","description","sustento_id:id","type_tax_use","amount_type","amount","sequence","tag_ids:id"
"__export__.account_tax_50001","500 BIENES Y SERVICIOS","BIENES Y SERVICIOS IVA 12 | Crédito tributario para declaración de IVA (ST 01)","__export__.l10n_ec_sri_ats_16_sustento_01","purchase","percent","12",,"__export__.account_account_tag_104509,__export__.account_account_tag_104500"
"__export__.account_tax_50005","500 EMPLEADOS","BIENES Y SERVICIOS IVA 12 | Liquidación gastos de viaje a nombre de empleados (ST 05)","__export__.l10n_ec_sri_ats_16_sustento_05","purchase","percent","12",,"__export__.account_account_tag_104509,__export__.account_account_tag_104500"
"__export__.account_tax_50006","500 INVENTARIO","BIENES Y SERVICIOS IVA 12 | Inventario - crédito tributario para declaración de IVA (ST 06)","__export__.l10n_ec_sri_ats_16_sustento_06","purchase","percent","12",,"__export__.account_account_tag_104509,__export__.account_account_tag_104500"
"__export__.account_tax_50008","500 INTERMEDIARIO","BIENES Y SERVICIOS IVA 12 | Valor pagado para reembolso de gasto (intermediario) (ST 08)","__export__.l10n_ec_sri_ats_16_sustento_08","purchase","percent","12",,"__export__.account_account_tag_104509,__export__.account_account_tag_104500"
"__export__.account_tax_50103","501 ACTIVOS FIJOS","ACTIVOS FIJOS IVA 12 | Activo Fijo - crédito tributario para declaración de IVA (ST 03)","__export__.l10n_ec_sri_ats_16_sustento_03","purchase","percent","12",,"__export__.account_account_tag_104509,__export__.account_account_tag_104501"
"__export__.account_tax_50108","501 INTERMEDIARIO","ACTIVOS FIJOS IVA 12 | Valor pagado para reembolso de gasto (intermediario) (ST 08)","__export__.l10n_ec_sri_ats_16_sustento_08","purchase","percent","12",,"__export__.account_account_tag_104509,__export__.account_account_tag_104501"
"__export__.account_tax_50200","502 CASOS ESPECIALES","OTRAS ADQUISICIONES  IVA 12 | Casos especiales (ST 00)","__export__.l10n_ec_sri_ats_16_sustento_00","purchase","percent","12",,"__export__.account_account_tag_104509,__export__.account_account_tag_104502"
"__export__.account_tax_50202","502 COSTO O GASTO","OTRAS ADQUISICIONES  IVA 12 | Costo o gasto para declaración de IR (ST 02)","__export__.l10n_ec_sri_ats_16_sustento_02","purchase","percent","12",,"__export__.account_account_tag_104509,__export__.account_account_tag_104502"
"__export__.account_tax_50204","502 ACTIVOS FIJOS","OTRAS ADQUISICIONES  IVA 12 | Activo Fijo - costo o gasto para declaración de IR (ST 04)","__export__.l10n_ec_sri_ats_16_sustento_04","purchase","percent","12",,"__export__.account_account_tag_104509,__export__.account_account_tag_104502"
"__export__.account_tax_50205","502 EMPLEADOS","OTRAS ADQUISICIONES  IVA 12 | Liquidación gastos de viaje a nombre de empleados (ST 05)","__export__.l10n_ec_sri_ats_16_sustento_05","purchase","percent","12",,"__export__.account_account_tag_104509,__export__.account_account_tag_104502"
